script_id,script_url,label,predicted_label,predicted_probability,prediction_confidence,failure_type,max_api_aggregation_score,behavioral_api_agg_count,fp_api_agg_count,behavioral_source_api_count,fingerprinting_source_api_count,graph_construction_failure,dataflow_to_sink,total_fp_api_accesses,num_sink_types,has_storage_sink,has_network_sink,mouse_event_count,keyboard_event_count,touch_event_count,pointer_event_count,behavioral_event_diversity,behavioral_ratio,intensity_ratio
7400815,https://cdn.cookielaw.org/scripttemplates/202305.1.0/otBannerSdk.js,0,0,0.0,1.0,Correct,1.0,0.0,1.0,1.0,2.0,0,0,3,0,0,0,0,0,0,1,1,0.3333333333333333,0.3333333333333333
7392717,https://mpsnare.iesnare.com/general5/wdp.js?loaderVer=5.1.0&compat=false&tp=true&tp_split=false&fp_static=false&fp_dyn=false&flash=false,1,1,0.9999506741578346,0.9999506741578346,Correct,18.0,18.0,0.0,32.0,17.0,0,0,31,0,0,0,5,4,7,5,4,0.6530612244897959,1.9591836734693877
7392618,https://auth.synchronybank.com/account/js/main.js,0,0,0.0,1.0,Correct,2.0,2.0,0.0,3.0,0.0,0,1,0,1,0,0,0,0,0,1,1,1.0,1.0
7392605,https://www1.bmo.com/banking/digital/polyfills.2acf1ec40143b7e0.js,0,0,0.0,1.0,Correct,5.0,5.0,0.0,5.0,1.0,0,0,1,0,0,0,1,1,1,1,4,0.8333333333333334,0.8333333333333334
7396886,https://aero.bankofamerica.com/30306/kurt.js,0,1,0.6687392573405332,0.6687392573405332,False Positive,15.0,15.0,0.0,31.0,23.0,0,0,39,0,0,0,9,7,15,0,3,0.5740740740740741,0.8703703703703703
7397007,https://www.googletagmanager.com/gtag/destination?id=AW-880627815&cx=c&gtm=45je55c0v877399572za200zb76824255&tag_exp=101509157~103101750~103101752~103116025~103130495~103130497~103200001~103233427~103251618~103251620~103284320~103284322~103301114~103301116,0,0,0.0,1.0,Correct,-1.0,-1.0,-1.0,1.0,3.0,1,0,3,0,0,0,0,0,0,1,1,0.25,0.25
7397418,https://code.jquery.com/jquery-3.5.1.min.js,0,0,0.0,1.0,Correct,8.0,8.0,0.0,26.0,1.0,0,1,2,1,0,0,0,6,0,8,2,0.9629629629629629,1.7777777777777777
7392546,https://www.beyondfinance.com/cdn-cgi/challenge-platform/h/b/orchestrate/chl_page/v1?ray=93f3a8679c27ab03,0,0,0.048314900595398766,0.9516850994046011,Correct,1.0,0.0,1.0,5.0,1.0,0,0,1,0,0,0,1,1,1,1,4,0.8333333333333334,5.833333333333333
7392543,https://www.beyondfinance.com/cdn-cgi/challenge-platform/h/b/orchestrate/chl_page/v1?ray=93f3a8efffd2ab03,0,0,0.013054236822457179,0.986945763177543,Correct,1.0,0.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,1,1,0.5,3.5
7392825,https://www.onlinebanking.natwest.com/polyfills-SCHOHYNV.js,0,0,0.0,1.0,Correct,6.0,6.0,0.0,6.0,1.0,0,0,1,0,0,0,1,1,1,1,4,0.8571428571428571,1.1428571428571428
